"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"Financl Accounting  Reporting (201730: Spring 2017)","Russo, Anthony","12","Financl Accounting  Reporting","30372","ACCT","26","16","0","Accounting","1201","3.6","3.6","3.7","3.5","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","3.4","3.9","3.4","3.9","3.3","3.3","3.4","4.2","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.1","3.8","3.1","3.4","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","3.9","3.7","3.8","4.1","3.9","3.8","3.3","3.7","3.4","3.8","3.5","3.8","3.9","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.5","4.5","4.4",NA,"19",NA,"63","13"
"Financl Accounting  Reporting (201730: Spring 2017)","Dinan, Edward","13","Financl Accounting  Reporting","31754","ACCT","40","34","0","Accounting","1201","4.5","4.5","4.8","4.7","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.3","4.2","4.7","4.5","4.7","4.7","4.5","4.6","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.7","4.7","4.2","4.5","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.8","4.7","4.8","4.8","4.9","4.7","4.7","4.8","4.9","4.8","4.8","4.5","4.8","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.7","4.5","4.4","15","41",NA,"24","12"
"Financl Accounting  Reporting (201730: Spring 2017)","Kelson, Norman","14","Financl Accounting  Reporting","33238","ACCT","38","25","0","Accounting","1201","4.0","3.8","3.9","4.0","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","3.9","4.0","4.2","4.2","3.6","3.9","3.8","4.3","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.1","4.0","3.5","3.6","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","3.8","3.4","4.1","4.2","4.1","3.9","3.5","3.9","3.6","4.4","4.1","4.0","4.0","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.0","4.5","4.4","4","20","40","24","12"
"Financl Accounting  Reporting (201730: Spring 2017)","Russo, Anthony","15","Financl Accounting  Reporting","34298","ACCT","37","23","0","Accounting","1201","3.9","3.7","4.1","4.2","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.0","4.2","4.0","3.8","3.5","3.7","3.9","4.4","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","3.7","3.8","3.6","3.8","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","3.9","3.9","4.2","4.3","4.2","3.8","3.8","4.1","3.8","4.0","4.2","4.4","4.3","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.2","4.5","4.4","13","9","48","30",NA
"Financl Accounting  Reporting (201730: Spring 2017)","Ginsberg, Laurance","16","Financl Accounting  Reporting","35736","ACCT","39","14","0","Accounting","1201","4.1","4.0","4.6","4.4","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.3","3.9","4.5","4.3","3.8","4.1","4.1","4.4","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.6","4.4","3.4","3.8","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.4","4.2","4.4","4.8","4.9","4.6","4.4","4.5","4.4","4.9","4.7","4.5","4.6","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.4","4.5","4.4","7","29","43","14","7"
"Financl Accounting  Reporting (201730: Spring 2017)","Kontis, Panagiotis","17","Financl Accounting  Reporting","37175","ACCT","40","28","0","Accounting","1201","4.0","3.8","4.2","4.0","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.0","3.6","4.0","4.1","4.1","3.9","3.7","4.4","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.2","4.0","3.5","3.6","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.0","3.7","4.1","4.4","4.5","4.4","3.8","4.2","3.8","4.5","3.9","4.3","4.5","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.0","4.5","4.4","18","46",NA,"25","7"
"Fin Accounting Global Context (201730: Spring 2017)","Goldman, William","01","Fin Accounting Global Context","33048","ACCT","30","24","0","Accounting","1202","4.7","4.6","4.9","5.0","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.5","4.4","4.8","4.8","4.9","5.0","4.8","4.9","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.9","4.8","4.3","4.5","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","5.0","5.0","5.0","4.9","5.0","4.9","4.8","5.0","5.0","5.0","4.9","5.0","5.0","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","5.0","4.5","4.4",NA,NA,"38","33","17"
"Fin Accounting Global Context (201730: Spring 2017)","Goldman, William","02","Fin Accounting Global Context","33049","ACCT","10","10","0","Accounting","1202","4.4","4.3","4.8","4.6","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.2","4.0","4.5","4.5","4.6","4.5","3.7","4.8","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.4","4.4","4.1","4.1","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.6","4.6","4.8","4.9","4.9","4.9","4.9","4.8","4.7","4.9","4.6","4.9","4.9","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.6","4.5","4.4",NA,"30","30",NA,"30"
"Financl Accounting  Reporting (201730: Spring 2017)","O'Kelly, Peggy","01","Financl Accounting  Reporting","31728","ACCT","48","36","0","Accounting","1209","4.2","4.0","4.6","4.6","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.1","3.5","4.4","4.5","4.4","4.5","4.1","4.3","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.5","4.4","3.3","3.8","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.8","4.6","4.6","4.6","4.8","4.7","4.4","4.4","4.5","4.8","4.4","4.7","4.7","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.6","4.5","4.4","11","47","28","14",NA
"Financl Accounting  Reporting (201730: Spring 2017)","O'Kelly, Peggy","02","Financl Accounting  Reporting","31729","ACCT","46","22","0","Accounting","1209","4.4","4.2","4.8","4.9","4.3","4.2","4.5","4.5","4.1","4.2","4.4","4.4","4.2","4.2","4.4","4.4","4.6","4.7","4.2","4.3","4.2","4.0","4.4","4.4","4.3","4.3","4.1","4.4","4.0","3.9","4.3","4.2","4.2","4.2","4.0","4.1","4.7","4.5","3.5","4.0","4.4","4.4","3.9","4.1","4.2","4.3","4.0","4.1","4.8","4.8","4.8","4.8","4.9","4.9","4.6","4.7","4.8","4.9","4.8","4.7","4.8","4.6","4.4","4.5","4.6","4.7","4.5","4.3","4.4","4.4","4.7","4.5","4.5","4.6","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.9","4.5","4.4","27",NA,"50","5","14"
