"title","prof","subject","courseQuestions","learningQuestions","instructorQuestions","wouldRecommend","spentMinimum","spentLow","spentMedium","spentHigh","spentMax"
"ACCT3416 Stratgc Cost Anly for Decision","Liu, Xiaotao","ACCT",4.4,4.3,4.5,4.5,5,30,40,20,5
"ACCT3416 Stratgc Cost Anly for Decision","Moreno, Kimberly","ACCT",4.21,4.48,4.5,4.5,NA,NA,NA,NA,NA
"ACCT4412 Auditing  Other Assur Srvcs","Archabal, Daniel","ACCT",3.9,4.2,4.5,4.5,8,13,50,20,10
"ACCT4412 Auditing  Other Assur Srvcs","Bame-Aldred, Charles","ACCT",4.6,4.7,4.5,4.5,7,7,43,29,14
"ACCT4412 Auditing  Other Assur Srvcs","Dinan, Edward","ACCT",4.16666666666667,4.36666666666667,4.5,4.5,NA,NA,NA,19.3333333333333,16.6666666666667
"ACCT4412 Auditing  Other Assur Srvcs","Wright, Nicole","ACCT",4.3,4.5,4.5,4.5,16.3333333333333,40.3333333333333,NA,12.6666666666667,NA
"ACCT4414 Inc Tax Detrmnation  Planning","Moore, Rebekah","ACCT",4.31666666666667,4.58333333333333,4.5,4.5,3.5,18.5,40.3333333333333,24.6666666666667,12.5
"ACCT4414 Inc Tax Detrmnation  Planning","Zullo, Ronald","ACCT",4.175,4.275,4.5,4.5,NA,NA,NA,30.5,11.25
"ACCT4501 Financl Reporting  Analysis 2","Bame-Aldred, Charles","ACCT",4.6,4.81666666666667,4.5,4.5,NA,NA,39,37.5,NA
"ACCT4501 Financl Reporting  Analysis 2","Gal-Or, Ronen","ACCT",4.58,4.76,4.5,4.5,NA,26.2,NA,NA,16.8
"ACCT4501 Financl Reporting  Analysis 2","Jones, Jeremy","ACCT",4.45,4.5,4.5,4.5,NA,40,25,NA,NA
"ACCT4501 Financl Reporting  Analysis 2","O'Kelly, Peggy","ACCT",4.625,4.825,4.5,4.5,NA,30.75,26.75,NA,13.5
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Kontis, Panagiotis","ACCT",4,4,4.5,4.5,NA,50,50,NA,NA
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Maletta, Mario","ACCT",4.33333333333333,4.7,4.5,4.5,NA,33.3333333333333,36.6666666666667,14,NA
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Moolman, Daniel","ACCT",4.4,4.46666666666667,4.5,4.5,NA,41.6666666666667,NA,20.1666666666667,NA
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Petit, Matthew","ACCT",4.45,4.675,4.55,4.575,13,27.5,NA,18.75,13.5
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Platt, Marjorie","ACCT",4.35,4.65,4.5,4.5,7.5,37.5,33.5,NA,NA
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Ruff, Michael","ACCT",4.15,4.35,4.5,4.5,NA,49,NA,10.5,13.5
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Sherman, H.","ACCT",4.35,4.6,4.5,4.5,19.5,NA,35.5,28.5,NA
"ACCT6200 Fin Reptg  Manag Dec Mkg 1","Williams, Christina","ACCT",4,4.4,4.5,4.5,NA,NA,NA,NA,30
"ACCT6201 Fin Reptg  Manag Dec Mkg 2","Walker Jr, Donald","ACCT",2.8,2.9,4.5,4.5,33,50,17,NA,NA
"ACCT6201 Fin Reptg  Manag Dec Mkg 2","Williams, Christina","ACCT",4.26666666666667,4.46666666666667,4.5,4.5,NA,NA,NA,26.8333333333333,NA
"ACCT6201 Fin Reptg  Manag Dec Mkg 2","Zullo, Ronald","ACCT",4.4,4.5,4.5,4.5,21,29,21,29,NA
"ACCT6201 Fin Reptg & Manag Dec Mkg 2","Williams, Christina","ACCT",4.03333333333333,4.36666666666667,4.46666666666667,4.26666666666667,NA,NA,44.3333333333333,NA,NA
"ACCT6201 Fin Reptg & Manag Dec Mkg 2","Zullo, Ronald","ACCT",4.5,4.6,4.6,4.4,16,NA,46,24,11
"ACCT6203 Business Entity Taxation","Moore, Rebekah","ACCT",4.35,4.8,4.5,4.5,NA,8,41.5,32,17.5
"ACCT6204 Fin Report for Multinat Ent","O'Kelly, Peggy","ACCT",4.53333333333333,4.83333333333333,4.51666666666667,4.51666666666667,NA,NA,NA,NA,NA
"ACCT6205 ProfEnvironAudit  Assurance","Bame-Aldred, Charles","ACCT",4.25,4.475,4.55,4.55,NA,NA,NA,36.5,39.75
"ACCT6207 Contemp  Emrg Issues Fin Rept","Boyer, James","ACCT",3.65,4.05,4.5,4.5,5,7,42,19,27.5
"ACCT6208 Financial Report  Decision","Hertenstein, Julie","ACCT",4.375,4.55,4.5,4.5,NA,27.75,NA,38.5,15.5
"ACCT6216 Fin Reporting Gov/Non Profits","Bowers, Michael","ACCT",3.7,3.5,4.525,4.525,NA,47.25,NA,NA,NA
"ACCT6216 Fin Reporting Gov/Non Profits","White, James","ACCT",3.75,3.6,4.5,4.5,17,NA,45.5,17,NA
"ACCT6217 Corp Gov, Ethics, Fin Rpt","Hoitash, Udi","ACCT",4.025,4.225,4.5,4.5,NA,46,18.25,NA,NA
"ACCT6217 Corp Gov, Ethics, Fin Rpt","Kelson, Norman","ACCT",4.125,4.175,4.55,4.55,NA,28.75,NA,NA,NA
"ACCT6220 Corporate Fin Reporting 1","Trotman, Andrew","ACCT",4.25,4.65,4.5,4.5,NA,10,26.5,45.5,18
"ACCT6221 Corporate Fin Reporting 2","Bailey, Wendy","ACCT",4.375,4.725,4.55,4.55,NA,NA,12,27,59.5
"ACCT6222 Corp/Gov/NP Financial Report","Goldman, William","ACCT",4.225,4.425,4.5,4.5,NA,NA,43.25,24,14.75
"ACCT6223 Audit  Other Assur Srvcs","Archabal, Daniel","ACCT",4.1,4.23333333333333,4.5,4.5,NA,20.3333333333333,NA,28.6666666666667,14.6666666666667
"ACCT6223 Audit  Other Assur Srvcs","Wright, Arnold","ACCT",4.1,4.2,4.5,4.5,11,26,32,32,NA
"ACCT6224 Taxation Indiv/Business Entity","Rupert, Timothy","ACCT",4.525,4.925,4.5,4.5,NA,18.25,44.75,NA,13.5
"ACCT6226 Strategic Cost Management","Sherman, H.","ACCT",4.06666666666667,4.58333333333333,4.5,4.5,6.5,21,NA,17.8333333333333,11.8333333333333
"ACCT6227 Acct for Business Combinations","O'Kelly, Peggy","ACCT",4.65,5,4.5,4.5,NA,NA,35.5,NA,19.5
"ACCT6228 Contmp Issues Accountng Theory","Sherman, H.","ACCT",4.375,4.65,4.55,4.55,27.75,NA,NA,NA,NA
"ACCT6230 Federal Tax Issues  Analysis","Zullo, Ronald","ACCT",4.5,5,4.5,4.5,NA,NA,NA,67,NA
"ACCT6231 Corporations  Shareholders","Ginsberg, Laurance","ACCT",4.6,4.5,4.5,4.5,NA,50,50,NA,NA
"ACCT6231 Corporations  Shareholders","Zullo, Ronald","ACCT",4,4.2,4.55,4.55,NA,30.5,NA,37.5,16
"ACCT6232 Estate and Gift Taxation","Gagnon, Timothy","ACCT",4.4,4.4,4.5,4.5,NA,40,60,NA,NA
"ACCT6233 Tax Research Methodology","Gagnon, Timothy","ACCT",4.45,4.725,4.5,4.4,NA,NA,NA,42,NA
"ACCT6234 Tax Procedure & Ethics","Zullo, Ronald","ACCT",4.4,4.85,4.5,4.3,36,NA,NA,22,NA
"ACCT6235 Partners  Partnerships","Ginsberg, Laurance","ACCT",4.3,4.8,4.5,4.5,NA,NA,NA,NA,75
"ACCT6235 Partners  Partnerships","Marino, Joanna","ACCT",4.1,4.5,4.55,4.55,NA,42,NA,29.5,NA
"ACCT6235 Partners  Partnerships","Rupert, Timothy","ACCT",4.4,4.8,4.5,4.5,NA,61,NA,13,17
"ACCT6239 State  Local Taxation","Jones, Richard","ACCT",4.3,4.3,4.5,4.5,NA,50,50,NA,NA
"ACCT6239 State  Local Taxation","Morris, Matthew","ACCT",4.4,4.4,4.5,4.5,NA,NA,43,NA,43
"ACCT6240 Int'l Tax: Inbound Transaction","Oliveira, Paul","ACCT",4.4,4.7,4.5,4.5,33,33,33,NA,NA
"ACCT6240 Int'l Tax: Inbound Transaction","Young, R.D. David","ACCT",2.7,3.1,4.5,4.5,36,43,21,NA,NA
"ACCT6241 Int'l Tax: Outbound Transactn","Gross, Joel","ACCT",5,5,4.7,4.8,NA,NA,33,33,33
"ACCT6241 Int'l Tax: Outbound Transactn","Young, R.D. David","ACCT",2.8,2.3,4.1,4.3,50,38,13,NA,NA
"ACCT6243 Advanced Flow through Entities","Ginsberg, Laurance","ACCT",4.6,5,4.1,4.3,25,NA,38,25,NA
"ACCT6246 Retirement Plans","Geurden, Robert","ACCT",4.5,4.5,4.5,4.5,NA,75,25,NA,NA
"ACCT6248 Taxation of Trusts  Estates","Gagnon, Timothy","ACCT",4.7,4.5,4.5,4.5,NA,50,NA,50,NA
"ACCT6253 Ethics in Accounting Professn","Bailey, Wendy","ACCT",4,4.3,4.5,4.5,NA,NA,NA,21,NA
"ACCT6253 Ethics in Accounting Professn","Goldman, William","ACCT",4.45,4.8,4.525,4.525,18.25,45.25,NA,9.25,NA
"ACCT6254 Acct Research  Communication","Alessandri, Susan","ACCT",3.925,4.45,4.55,4.55,39.25,NA,NA,NA,NA
"ACCT6255 Forensic Accounting","Boyer, James","ACCT",4.35,4.55,4.5,4.5,11.5,30,39,NA,NA
"ACCT6256 Internal Auditing","Bame-Aldred, Charles","ACCT",4.35,4.65,4.5,4.5,NA,23.5,NA,36.5,NA
"ACCT6260 Advanced Topics in Accounting","Sennott, Francis","ACCT",4.6,4.75,4.4,4.55,NA,66.5,NA,NA,NA
