"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"291","Object-Oriented Design (201710: Fall 2016)","Shesh, Amit","03","Object-Oriented Design","17994","CS","68","43","2","Computer Science","3500","4.1","4.2","4.6","4.6","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","3.9","3.1","3.9","4.7","3.9","3.9","4.2","4.6","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","4.5","4.5","3.5","4.0","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.8","4.6","4.5","4.6","4.8","4.6","4.3","4.3","4.7","4.8","4.5","4.5","4.7","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.6","4.3","4.3","2","2","15","22","59"
"292","Programming in C++ (201710: Fall 2016)","Baclawski, Kenneth","01","Programming in C++","14134","CS","39","18","0","Computer Science","3520","3.8","3.9","4.1","3.9","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","3.6","3.0","4.3","4.5","3.7","3.4","3.6","3.9","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","4.2","4.2","3.2","3.3","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.0","3.8","4.2","4.6","4.6","4.1","3.7","4.3","3.4","4.5","3.8","4.3","4.1","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.9","4.3","4.3","17","39","28","17",NA
"293","Computer Systems (201710: Fall 2016)","Tuck, Nathaniel","01","Computer Systems","15095","CS","32","30","0","Computer Science","3650","4.1","4.2","4.4","4.4","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","4.1","3.6","3.9","4.3","4.2","3.9","4.1","4.6","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","4.5","4.3","3.5","4.0","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.7","4.3","4.3","4.5","4.5","4.5","3.9","4.4","4.2","4.5","4.0","4.2","4.7","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.4","4.3","4.3",NA,"40",NA,"27","23"
"294","Computer Systems (201710: Fall 2016)","Cooperman, Gene","02","Computer Systems","16301","CS","48","32","0","Computer Science","3650","4.2","4.1","4.5","4.5","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","4.0","3.8","4.4","4.6","4.3","4.1","4.2","4.7","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","4.4","4.3","3.6","3.8","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.6","4.2","4.6","4.6","4.6","4.2","4.2","4.4","4.5","4.7","4.6","4.8","4.8","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.5","4.3","4.3","6","19","38","28","9"
"295","Computer Systems (201710: Fall 2016)","Tuck, Nathaniel","03","Computer Systems","17995","CS","36","34","0","Computer Science","3650","4.1","4.0","4.5","4.6","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","3.9","3.5","4.0","4.4","4.3","4.3","4.0","4.5","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","4.5","4.3","3.4","3.6","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.7","4.5","4.4","4.7","4.7","4.6","4.2","4.3","4.5","4.6","4.4","4.4","4.6","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.6","4.3","4.3","3","21","56","15","6"
"296","Networks  Distributed Systems (201710: Fall 2016)","Wilson, Christopher","01","Networks  Distributed Systems","15096","CS","63","31","3","Computer Science","3700","4.5","4.6","4.8","4.9","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","4.3","3.6","4.7","4.8","4.9","4.5","4.2","4.7","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","4.9","4.8","4.1","4.5","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","5.0","5.0","4.9","4.9","4.9","4.9","4.5","4.7","4.9","4.9","4.8","4.6","4.9","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.9","4.3","4.3",NA,"22","56",NA,"15"
"297","Theory of Computation (201710: Fall 2016)","Viola, Emanuele","01","Theory of Computation","10632","CS","76","53","2","Computer Science","3800","3.0","2.7","2.7","2.3","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","2.9","3.2","3.2","3.0","2.1","2.1","2.8","4.5","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","2.8","2.8","2.4","2.9","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","2.4","1.9","3.3","3.9","3.7","2.9","1.9","2.5","1.7","3.1","2.2","2.9","3.0","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","2.3","4.3","4.3","4","43","37","12","4"
"298","Theory of Computation (201710: Fall 2016)","Wichs, Daniel","02","Theory of Computation","17214","CS","48","36","2","Computer Science","3800","4.2","4.1","4.3","4.3","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","3.7","4.1","4.2","4.4","4.3","4.1","4.1","4.4","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","4.2","4.3","3.6","3.9","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.5","4.3","4.4","4.4","4.6","4.4","4.1","4.3","4.2","4.6","4.0","3.8","4.6","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.3","4.3","4.3","15","38",NA,"32","12"
"299","Artificial Intelligence (201710: Fall 2016)","Marsella, Stacy","01","Artificial Intelligence","13747","CS","44","21","0","Computer Science","4100","3.7","3.8","3.9","3.6","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","3.6","2.8","4.0","4.0","3.3","3.9","3.6","4.1","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","3.9","4.1","3.3","3.5","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.0","3.3","4.1","4.2","3.7","3.3","3.7","4.4","3.2","4.5","3.7","4.3","4.4","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","3.6","4.3","4.3",NA,"52",NA,"14","19"
"300","Natural Language Processing (201710: Fall 2016)","Smith, David","01","Natural Language Processing","18356","CS","50","34","1","Computer Science","4120","3.9","3.9","4.1","4.0","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","3.8","4.1","4.0","4.1","3.8","3.7","3.6","4.0","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","3.9","3.9","3.8","4.0","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.2","3.9","4.2","4.2","4.4","4.2","3.8","4.0","3.9","4.6","4.0","4.1","4.5","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.0","4.3","4.3","3","16","34","31","16"
"301","Computer Graphics (201710: Fall 2016)","Shesh, Amit","01","Computer Graphics","12925","CS","29","20","1","Computer Science","4300","4.1","4.1","4.6","4.7","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","3.7","3.3","4.2","4.7","4.0","4.1","4.1","4.5","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","4.4","4.3","3.6","4.0","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.7","4.5","4.6","4.6","4.7","4.3","4.4","4.5","4.6","4.8","4.4","4.8","4.9","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.7","4.3","4.3",NA,"35","35",NA,"18"
"302","Programming Languages (201710: Fall 2016)","Barzilay, Eliyahu","01","Programming Languages","10888","CS","48","22","1","Computer Science","4400","4.2","4.2","4.2","4.3","4.0","4.0","4.3","4.3","4.1","4.1","4.4","4.3","3.9","3.4","4.5","4.6","4.0","3.9","3.9","4.6","3.9","3.7","4.1","4.3","3.9","3.9","3.9","4.0","4.0","3.9","4.2","4.2","4.1","4.1","4.0","4.1","4.4","4.3","3.7","4.1","4.2","4.2","3.7","3.9","4.2","4.3","4.0","4.1","4.5","4.3","4.2","4.3","4.4","3.6","4.2","4.5","4.5","4.2","4.3","3.5","4.7","4.4","4.3","4.4","4.4","4.5","4.2","4.1","4.3","4.2","4.5","4.2","4.3","4.5","4.4","4.3","4.4","4.4","4.5","4.3","4.2","4.3","4.2","4.5","4.3","4.3","4.5","4.3","4.3","4.3",NA,"35",NA,"35","25"
